node_id,force_x,force_y,force_z,force_magnitude
1,9.60433,0.00034,93.97631,94.466467708
2,0.087960,27.19342,11.71832,29.604026357
3,1.34574,0.21031,7.65558,7.774618729
4,-13.01063,96.70917,69.58356,119.273395489
5,-1.45529,12.86572,14.88628,19.671175066
6,-33.87921,119.45936,162.26093,203.086818283
7,-4.20144,16.80846,27.21648,32.656876127
8,-50.43852,77.59187,224.04746,241.867466268
9,-5.89135,9.72474,33.48301,35.344176773
10,-57.71198,24.11986,245.24473,252.809831387
11,-6.34495,2.67567,34.47746,35.090982368
12,-57.7123,-24.26025,245.25026,252.819677026
13,-6.34511,-2.69206,34.47871,35.092141928
14,-50.43534,-77.73631,224.06053,241.888043459
15,-5.89147,-9.74385,33.48683,35.346958842
16,-33.86797,-119.60099,162.26122,203.099558471
17,-4.20066,-16.83063,27.21849,32.659192518
18,-13.0007,-96.79463,69.55436,119.275064936
19,-1.45447,-12.8791,14.88337,19.668815421
20,0.08656,-27.19902,11.69379,29.597971994
21,1.34571,-0.21019,7.65541,7.774439894
22,3.24454,-0.17274,2.05012,3.866983584
23,3.61832,-0.02062,2.33204,4.258336706
24,3.61832,0.02079,2.33205,4.258348286
25,3.24453,0.1729,2.05027,3.867076819
26,9.26144,-0.37265,9.39063,13.215026476
27,9.26138,0.3732,9.39095,13.215143699
28,1.06199,-0.13022,0.23989,1.098648938
29,1.12839,-0.03822,0.19462,1.146217486
30,1.12839,0.0384,0.19465,1.146247486
31,1.06197,0.13035,0.24,1.098721738
32,0.52536,-0.04179,0.09169,0.536605652
33,0.52536,0.04187,0.09172,0.536635652
34,2.53261,-0.19953,1.69,3.053824289
35,0.38324,0.00002,0.07888,0.393766776
36,2.53266,0.19963,1.69026,3.054068289
37,1.12762,-0.11211,0.12765,1.153295178
38,1.12760,0.11224,0.10324,1.140984314
